round,loss,accuracy
0,1.3884713441133498,0.01
1,1.3689979702234267,0.50671875
2,1.3144622611999512,0.47546875
3,1.2164277750253678,0.5303125
4,1.1935782635211944,0.52375
5,1.1830795192718506,0.5278125
6,1.1444300344586373,0.56734375
7,1.1429303595423699,0.5715625
8,1.1352024906873703,0.58015625
9,1.1179829782247543,0.61546875
10,1.1020642653107644,0.6275
11,1.0806018224358558,0.65421875
12,1.068790582716465,0.67203125
13,1.0449085918068886,0.70046875
14,1.0474357652664184,0.70046875
15,1.0304196238517762,0.7153125
16,1.0066191080212592,0.74234375
17,1.0422509747743607,0.69875
18,1.0182968536019326,0.730625
19,1.002970497906208,0.74609375
20,0.997807126045227,0.75609375
21,0.9823888409137725,0.766875
22,0.9714204347133637,0.77484375
23,0.9533333024382591,0.79328125
24,0.9664637303352356,0.79171875
25,0.9445459976792335,0.80578125
26,0.9416730600595474,0.8065625
27,0.9244363272190094,0.82
28,0.9268704843521118,0.81953125
29,0.9147683495283127,0.8328125
30,0.9164288729429245,0.8303125
