round,loss,accuracy
0,1.3884713441133498,0.01
1,1.3735252159833908,0.473125
2,1.3332946133613586,0.39578125
3,1.2567934784293175,0.46109375
4,1.1974043381214141,0.52265625
5,1.1917324537038803,0.5190625
6,1.2076832312345505,0.5159375
7,1.1306320521235467,0.59796875
8,1.129000324010849,0.60203125
9,1.0929090642929078,0.636875
10,1.0677980607748032,0.66328125
11,1.0495516392588615,0.690625
12,1.0472639712691307,0.69046875
13,1.0237812194228173,0.71890625
14,1.0202446019649505,0.71890625
15,0.9889185285568237,0.755
16,0.9828321972489357,0.76390625
17,0.9792625424265862,0.76515625
18,0.9651462224125862,0.7778125
19,0.9596776837110519,0.78703125
20,0.9548994183540345,0.78421875
21,0.9590121567249298,0.78046875
22,0.9292539748549461,0.816875
23,0.9377881416678429,0.80515625
24,0.9226259869337082,0.82265625
25,0.9203558182716369,0.8225
26,0.9116944122314453,0.8328125
27,0.908973278105259,0.8375
28,0.9005716115236282,0.8453125
29,0.9024621883034706,0.8440625
30,0.8911954146623612,0.85296875
