round,loss,accuracy
0,1.3884713441133498,0.01
1,1.3763175463676454,0.5
2,1.3043476897478103,0.51640625
3,1.2722513687610626,0.50421875
4,1.2533298897743226,0.518125
5,1.1957059094309808,0.51953125
6,1.18361590385437,0.53140625
7,1.1704569506645202,0.5440625
8,1.187419063448906,0.5225
9,1.1745228081941606,0.5390625
10,1.1517316490411758,0.56953125
11,1.162305245101452,0.5528125
12,1.1492665195465088,0.56859375
13,1.1442704007029534,0.5690625
14,1.159677896797657,0.5584375
15,1.1418965351581574,0.5815625
16,1.11619743257761,0.61359375
17,1.152684340775013,0.5725
18,1.1240354880690575,0.60359375
19,1.1490362143516542,0.570625
20,1.1453133434057237,0.5775
21,1.1208704820275306,0.60453125
22,1.1232304164767266,0.59875
23,1.1336494708061218,0.58265625
24,1.1429366633296012,0.56296875
25,1.1336889147758484,0.5890625
26,1.1361936399340629,0.57984375
27,1.1339840719103813,0.58046875
28,1.111786402463913,0.61140625
29,1.1130675929784775,0.6103125
30,1.0926030591130256,0.63671875
