round,loss,accuracy
0,1.3902965606759288,0.2288329519450801
1,1.3592548704983896,0.2898550724637681
2,1.209600259473904,0.467581998474447
3,1.1413077144200887,0.5118230358504958
4,1.3952240787509014,0.35392829900839057
5,1.1375796931286426,0.5644546147978642
6,1.037215232485401,0.5270785659801678
7,1.483819069705966,0.3127383676582761
8,1.2748310589590297,0.37376048817696417
9,1.3042886208069406,0.41189931350114417
10,1.9008940362821183,0.24561403508771928
11,1.1527406458269085,0.543859649122807
12,1.0383594349810952,0.5888634630053394
13,0.9228393909678397,0.6361556064073226
14,1.0628543867581133,0.581998474446987
15,1.1318857617090896,0.6430205949656751
16,1.1301455908745504,0.5652173913043478
17,1.1870337403702609,0.5926773455377574
18,1.0043307823774743,0.6430205949656751
19,1.282141295850595,0.6864988558352403
20,1.0642301787137076,0.6361556064073226
21,1.2295790828883784,0.6475972540045767
22,1.1267547843839993,0.620137299771167
23,1.0537417855065438,0.6987032799389779
24,1.1180664413671835,0.6483600305110603
25,1.0975850101284723,0.581998474446987
26,1.1551128761696505,0.6521739130434783
27,1.0971242249875828,0.700228832951945
28,1.2935191587716182,0.7109077040427155
29,0.9233874074381604,0.6475972540045767
30,1.275153863029931,0.6918382913806255
