round,loss,accuracy
0,1.3950495368242264,0.01
1,1.3117550131678581,0.369375
2,1.7153278857469558,0.01
3,1.1159121856093406,0.504375
4,1.1903340312838555,0.53375
5,2.0632354329526423,0.14
6,0.9896392107009888,0.53859375
7,1.3513263791799546,0.3315625
8,0.8574330756068229,0.5721875
9,1.373243491128087,0.4021875
10,0.8333108623325824,0.5940625
11,0.8592187257111072,0.6178125
12,0.6172130735591054,0.7265625
13,1.4092788810422645,0.59359375
14,1.0377900028042495,0.5675
15,1.4616252052970231,0.4890625
16,1.0863326123263688,0.56671875
17,1.0890311739407479,0.5328125
18,0.6852682284265756,0.66234375
19,0.9735510559938848,0.5915625
20,1.4832006306760013,0.45609375
21,2.386761289414862,0.4075
22,0.808935681656003,0.62609375
23,0.788377516886685,0.68609375
24,1.2853688649274408,0.61890625
25,0.6279142698226496,0.66
26,1.8500732479896396,0.3496875
27,0.9325392353069037,0.57578125
28,3.167911829960067,0.48515625
29,1.4055121333990246,0.505625
30,3.184666941069354,0.37640625
