round,loss,accuracy
0,1.3950495368242264,0.01
1,1.2766888785362243,0.14
2,1.433630240559578,0.14
3,1.0779775235056877,0.5165625
4,1.3898491318523885,0.2825
5,1.1002641090750693,0.50328125
6,1.3114534544944763,0.435625
7,1.2686868335306645,0.43046875
8,1.1417796252667904,0.50640625
9,0.9214914844185114,0.56796875
10,0.9248516716808081,0.57515625
11,1.1814639102295041,0.440625
12,0.7217726093484089,0.66
13,0.793188021471724,0.62
14,0.8130808993941173,0.59390625
15,1.1510134667437524,0.54390625
16,1.3936522638658062,0.47859375
17,0.9011109090130777,0.5475
18,0.8142679626634345,0.60859375
19,0.7851992893544957,0.63953125
20,0.9414631104562432,0.536875
21,0.9414466771343722,0.5678125
22,0.8232567277154885,0.62296875
23,0.8287327148747863,0.69125
24,0.7350626092572929,0.65671875
25,0.6260455573484068,0.71015625
26,1.9391715645138174,0.4075
27,1.2563069552765227,0.52796875
28,1.3304137970670127,0.54140625
29,0.9215165322646499,0.57203125
30,1.7961753196008794,0.495625
