round,loss,accuracy
0,1.3871505033142415,0.2288329519450801
1,1.306924283095301,0.38062547673531655
2,1.3734406297394195,0.2974828375286041
3,1.3211190436833875,0.3707093821510298
4,1.3701891357165816,0.34477498093058734
5,1.1579136852086909,0.5804729214340199
6,1.0987975020885103,0.635392829900839
7,1.1178431696422586,0.620137299771167
8,1.120820210600154,0.6209000762776506
9,1.0662120030546443,0.6712433257055682
10,1.0662120030546443,0.6712433257055682
11,1.0604794834698548,0.6803966437833715
12,1.060385521452996,0.6811594202898551
13,1.0504058776785634,0.6910755148741419
14,1.0504058922273707,0.6910755148741419
15,1.0502566214648028,0.6903127383676583
16,1.0811597197043086,0.6590389016018307
17,1.0836051123275001,0.6552250190694127
18,1.0669065849368213,0.6758199847444699
19,1.0459364011576846,0.6903127383676583
20,1.0475625038874412,0.6948893974065599
21,1.0359400771757195,0.7017543859649122
22,1.0338462637545587,0.7063310450038138
23,1.031245569888187,0.7101449275362319
24,1.0484240173293287,0.6918382913806255
25,1.0484240493367047,0.6918382913806255
26,1.0642604144086918,0.6758199847444699
27,1.1298791258322383,0.6109839816933639
28,1.063439713280952,0.6788710907704043
29,1.0548016062954015,0.6864988558352403
30,1.019877593086295,0.7231121281464531
