round,loss,accuracy
0,1.3950495368242264,0.01
1,1.3296069401502608,0.1784375
2,1.1347253769636154,0.46734375
3,0.9235066452622414,0.54515625
4,0.8539341630041599,0.5709375
5,0.8784883748041465,0.5571875
6,0.7943459422932938,0.59625
7,0.8036735989095177,0.6103125
8,0.7480485577438958,0.65078125
9,0.7895015150948893,0.62171875
10,0.8026837751024868,0.60265625
11,0.657679148450261,0.70375
12,0.6007408284043777,0.716875
13,0.5930704132303072,0.71984375
14,0.6001680100211524,0.72546875
15,0.5417097202877631,0.74390625
16,0.5080911237853798,0.76703125
17,0.5492311950913062,0.73546875
18,0.44911309548242573,0.7959375
19,0.43986831077849275,0.798125
20,0.40762609837368474,0.82078125
21,0.39869736010570705,0.8246875
22,0.4334963026314654,0.8221875
23,0.3576902021431033,0.84984375
24,0.36853153222425816,0.838125
25,0.48387499326549915,0.7553125
26,0.34765640760748284,0.8553125
27,0.4337831402258053,0.83890625
28,0.3840209291312931,0.865
29,0.3137011566488854,0.8759375
30,0.3009271379798437,0.87140625
