round,loss,accuracy
0,1.3884713441133498,0.01
1,1.3805408841371536,0.1909375
2,1.309079183936119,0.4640625
3,1.2876575165987014,0.4109375
4,1.2210287052392959,0.49609375
5,1.1810584831237794,0.543125
6,1.1664359512925149,0.553125
7,1.1212699136137962,0.6071875
8,1.0978093576431274,0.63140625
9,1.0691718861460686,0.66859375
10,1.0507226744294167,0.68703125
11,1.0277031564712524,0.7115625
12,1.0170858797430993,0.723125
13,1.0558883014321327,0.68109375
14,1.0069983556866646,0.73203125
15,0.9823534482717514,0.7646875
16,0.9748613116145134,0.77
17,0.9602885952591896,0.78328125
18,1.0013882157206535,0.731875
19,0.9475738951563835,0.7984375
20,0.953489120900631,0.78734375
21,0.946974195241928,0.79453125
22,0.9255346727371215,0.81703125
23,0.9250660344958306,0.81359375
24,0.9215632864832878,0.81875
25,0.9125219711661339,0.82984375
26,0.9312701362371445,0.8084375
27,0.9034784737229348,0.83671875
28,0.9105404829978943,0.826875
29,0.9001171609759331,0.84125
30,0.904979273378849,0.836875
