round,loss,accuracy
0,1.3884713441133498,0.01
1,1.3781877064704895,0.159375
2,1.3143683528900147,0.51015625
3,1.2644965702295303,0.51703125
4,1.2313655650615691,0.52125
5,1.2085041376948356,0.5196875
6,1.1853085005283355,0.52921875
7,1.173946096599102,0.5475
8,1.163760259449482,0.551875
9,1.1594818073511124,0.55984375
10,1.1602197673916816,0.56015625
11,1.1514891186356544,0.57265625
12,1.1418148177862166,0.57953125
13,1.1365990176796914,0.58859375
14,1.13885075122118,0.58421875
15,1.1418181121349336,0.58328125
16,1.1218905550241471,0.61109375
17,1.1227345621585847,0.6090625
18,1.1081573370099067,0.62671875
19,1.115791175365448,0.61625
20,1.1140941375494002,0.61703125
21,1.1145807847380638,0.6184375
22,1.0988460078835487,0.6396875
23,1.1011555549502372,0.63015625
24,1.0943068665266038,0.63765625
25,1.070637402832508,0.66828125
26,1.0834367495775223,0.6484375
27,1.080144155919552,0.653125
28,1.07620270550251,0.6534375
29,1.0594367215037346,0.6775
30,1.0661925873160363,0.66734375
