round,loss,accuracy
0,1.3950495368242264,0.01
1,2.8217886006832122,0.14
2,2.406899514198303,0.01
3,1.0984045994281768,0.46546875
4,2.186994439922273,0.5
5,3.2034513355791567,0.14
6,3.469845940852538,0.14
7,2.92627311008051,0.14
8,0.9738213786482811,0.56359375
9,2.8474512404203414,0.01
10,1.2081296011805533,0.364375
11,1.3351288703083992,0.419375
12,0.78474923864007,0.615625
13,0.8584469512850046,0.5659375
14,0.9819256293773652,0.60734375
15,2.041120535619557,0.26046875
16,1.1074563352018594,0.4678125
17,0.9247298078238964,0.55203125
18,1.315872785449028,0.52140625
19,1.3346171329077334,0.4596875
20,0.904980633482337,0.5575
21,2.930288885930786,0.2296875
22,0.6925931841135025,0.71546875
23,0.9334046825114638,0.61015625
24,1.0196440517529846,0.57796875
25,1.3539844610914589,0.57453125
26,1.7807240914413704,0.3453125
27,1.6562857002764941,0.58234375
28,1.4292981070652604,0.5815625
29,2.7244160461612044,0.34328125
30,2.491948498529382,0.37234375
