round,loss,accuracy
0,1.3950495368242264,0.01
1,1.2833914262056352,0.49078125
2,1.0630996575951577,0.51875
3,0.8957997903227806,0.56859375
4,0.8312361427024006,0.59296875
5,0.8097691961796954,0.60375
6,0.7408130012848414,0.64375
7,0.6940153082134202,0.66859375
8,0.6767669720249251,0.68609375
9,0.6267993605410447,0.69703125
10,0.603952031765657,0.72171875
11,0.5415949092253868,0.7540625
12,0.49103369370328437,0.78890625
13,0.4619030482207018,0.80296875
14,0.44484937635475946,0.8165625
15,0.4470760929653625,0.825625
16,0.4111472840478564,0.84125
17,0.41174434347729405,0.84609375
18,0.3764190248872728,0.86015625
19,0.33570950375023584,0.86421875
20,0.33702318281170845,0.8765625
21,0.32305890849249863,0.87515625
22,0.3344549086598454,0.8815625
23,0.314494723464727,0.88484375
24,0.3083980657459483,0.8828125
25,0.26794982714455956,0.89703125
26,0.32954298992164693,0.890625
27,0.29246458018649035,0.8915625
28,0.2645516463901095,0.90078125
29,0.2800263112063476,0.91078125
30,0.24203845712970576,0.9084375
