round,loss,accuracy
0,1.3884713441133498,0.01
1,1.3718418896198272,0.25640625
2,1.3310307830572128,0.4196875
3,1.1942625072598458,0.5175
4,1.1565338477492333,0.5678125
5,1.1516184586286544,0.570625
6,1.1228206011652946,0.60921875
7,1.1048736250400544,0.62359375
8,1.1355693510174751,0.5784375
9,1.0774234163761138,0.66578125
10,1.078865022957325,0.6525
11,1.0423863729834557,0.7003125
12,1.0110788834095001,0.73421875
13,1.003305892944336,0.7390625
14,0.9985389921069145,0.7403125
15,1.0458545297384263,0.6815625
16,0.9683472660183906,0.78265625
17,1.0218041580915451,0.7175
18,0.9895640420913696,0.7534375
19,0.9590317484736443,0.78484375
20,0.9483404040336609,0.80015625
21,0.9508281487226486,0.79359375
22,0.9549062323570251,0.7859375
23,0.92964899122715,0.811875
24,1.0429794347286225,0.69125
25,0.9749401676654815,0.76203125
26,0.9939744415879249,0.74046875
27,0.9069601166248321,0.8365625
28,0.9169703292846679,0.83265625
29,0.9467578926682472,0.7940625
30,0.9143946617841721,0.82734375
