round,loss,accuracy
0,1.3902965606759288,0.2288329519450801
1,1.2793774163786642,0.49046529366895497
2,1.2972907841796641,0.4469870327993898
3,1.3225170753094915,0.5774218154080855
4,1.2016046794655666,0.581998474446987
5,1.1226593826355413,0.669717772692601
6,1.2594915189908875,0.7025171624713958
7,1.100551856021041,0.7025171624713958
8,1.0459983671648097,0.6125095347063311
9,0.8838352274112716,0.6864988558352403
10,0.8050397038914429,0.6948893974065599
11,1.105496868253547,0.7726926010678871
12,0.916593970044663,0.7589626239511823
13,0.7240720088931097,0.7543859649122807
14,0.8425345561778973,0.7437070938215103
15,0.8713347486168441,0.778794813119756
16,0.7690519420906026,0.7658276125095347
17,0.7237186791513095,0.7841342486651411
18,0.8593234432098249,0.7848970251716247
19,0.706862657915582,0.8009153318077803
20,0.951171112102602,0.7833714721586575
21,1.0788066733405093,0.7742181540808543
22,0.7653440189761664,0.7879481311975591
23,0.9129771793688826,0.7940503432494279
24,0.9487968270193067,0.7932875667429443
25,0.9007379834793798,0.7963386727688787
26,1.0970638871454357,0.7841342486651411
27,0.9992024374985108,0.8138825324180016
28,0.9063156609665702,0.8024408848207475
29,0.6293945113363201,0.816933638443936
30,0.9382554299733016,0.8237986270022883
