round,loss,accuracy
0,1.3902965606759288,0.2288329519450801
1,2.087940212984198,0.486651411136537
2,1.0401589299412195,0.585812356979405
3,1.2766778104001562,0.5873379099923722
4,1.9684208510300825,0.665903890160183
5,1.557556893757504,0.6666666666666666
6,1.1388040029938944,0.6964149504195271
7,1.709350300629431,0.6811594202898551
8,1.0980666063379279,0.6338672768878718
9,1.1832220902912245,0.7093821510297483
10,1.3214362276637035,0.6163234172387491
11,2.1040168003577606,0.6720061022120518
12,1.2799348041790302,0.7177726926010679
13,0.80639338147813,0.7452326468344775
14,1.2189082426426068,0.7200610221205187
15,1.6593621422363158,0.7391304347826086
16,0.9593949718024328,0.7315026697177727
17,1.7532662790400793,0.7437070938215103
18,1.1172343013306596,0.7482837528604119
19,0.9467684900974904,0.7665903890160183
20,1.6639890898277303,0.7345537757437071
21,2.1839683024506646,0.738367658276125
22,1.2347312422084227,0.6819221967963387
23,1.0282142204511342,0.7635392829900839
24,1.1954089602017541,0.7574370709382151
25,1.1582345820389386,0.7604881769641495
26,0.821359069198853,0.7841342486651411
27,1.1943761629459515,0.7841342486651411
28,1.9594178012857095,0.7726926010678871
29,1.4644995546820758,0.7818459191456903
30,1.4401612812744424,0.7963386727688787
