round,loss,accuracy
0,1.3871505033142415,0.2288329519450801
1,1.3125309744106732,0.3340961098398169
2,1.1548562402674298,0.5766590389016019
3,1.1402788940592634,0.597254004576659
4,1.0596386002366731,0.6773455377574371
5,1.0603632748718028,0.6781083142639207
6,1.0770502810620062,0.662090007627765
7,1.0339319533196047,0.7025171624713958
8,1.0540464024431009,0.6849733028222731
9,1.0339985446653503,0.7009916094584286
10,1.0189924232837901,0.7185354691075515
11,1.0068733686713387,0.7345537757437071
12,1.0084572100257436,0.7330282227307399
13,1.0160881700086557,0.7254004576659039
14,0.9982101795420585,0.7406559877955758
15,1.0047430610220274,0.7337909992372235
16,1.0061504151601086,0.7368421052631579
17,0.9888778092932101,0.7505720823798627
18,0.9917282436204993,0.7467581998474447
19,0.9828266082693837,0.7604881769641495
20,0.9800538820314735,0.7612509534706331
21,0.9747215099320168,0.7688787185354691
22,0.9879810164485788,0.7528604118993135
23,0.9712312437940608,0.7704042715484363
24,0.9814919050552752,0.7543859649122807
25,0.9830683308826158,0.7566742944317315
26,0.9845427652063669,0.7543859649122807
27,0.9740265686943002,0.7673531655225019
28,0.962560698787826,0.7810831426392068
29,0.963988853355658,0.7757437070938215
30,0.9602108540014853,0.7772692601067888
